LINEUPS,NETRTG,,,
A. Tolliver - R. Jackson,67,,,
D. Howard - M. Thornton,35,,,
E. Bledsoe - M. Morris,21,,,
K. Koufos - W. Cauley-Stein,52,,,
S. Vujacic - K. Porzingis,41,,,
D. Cunningham - A. Gee,50,,,
D. Howard - T. Jones,38,,,
L. Thomas - K. Porzingis,49,,,
D. Green - K. Anderson,57,,,
J. Henson - M. Carter-Williams,36,,,
T. Allen - M. Chalmers,33,,,
T. Harris - A. Gordon,37,,,
D. Favors - T. Lyles,48,,,
L. Scola - C. Joseph,70,,,
A. Bargnani - S. Larkin,39,,,
A. Brooks - T. Gibson,52,,,
B. Bass - M. Huertas,34,,,
D. Augustin - E. Kanter,34,,,
D. Dedmon - V. Oladipo,35,,,
J. Nelson - D. Arthur,36,,,
Q. Acy - B. McLemore,42,,,
R. Foye - D. Gallinari,44,,,
D. West - L. Aldridge,52,,,
R. Neto - J. Ingles,64,,,
E. Bledsoe - A. Len,29,,,
E. Ilyasova - S. Johnson,49,,,
J. Withey - T. Burke,41,,,
T. Chandler - A. Goodwin,38,,,
D. Augustin - J. Lauvergne,27,,,
J. Smith - A. Nicholson,41,,,
M. Ellis - S. Hill,47,,,
R. Jefferson - L. James,51,,,
J. Crawford - J. Smith,30,,,
R. Foye - E. Kanter,27,,,
R. Lopez - J. Grant,54,,,
S. Ibaka - A. Morrow,58,,,
T. Snell - B. Portis,39,,,
J. Green - D. Jordan,24,,,
J. Sampson - E. Mudiay,25,,,
B. Bogdanovic - M. Brown,43,,,
P. Millsap - T. Splitter,34,,,
J. O'Bryant III - R. Vaughn,53,,,
E. Gordon - I. Smith,23,,,
G. Henderson - M. Plumlee,69,,,
J. Simmons - K. Anderson,47,,,
D. Howard - D. Motiejunas,34,,,
L. Scola - T. Ross,52,,,
J. Johnson - C. Joseph,52,,,
J. Leuer - T. Warren,40,,,
T. McConnell - R. Holmes,48,,,
D. Arthur - J. Lauvergne,35,,,
G. Green - T. Johnson,29,,,
R. Jefferson - T. Mozgov,50,,,
B. Lopez - M. Brown,46,,,
R. Price - J. Leuer,48,,,
B. Udrih - G. Green,32,,,
T. Mozgov - I. Shumpert,38,,,
T. Snell - D. McDermott,44,,,
J. Barea - J. Anderson,44,,,
S. Hawes - N. Batum,45,,,
J. Crawford - L. Stephenson,37,,,
K. O'Quinn - J. Grant,54,,,
D. Wade - J. Richardson,30,,,
N. Bjelica - K. Towns,52,,,
C. Zeller - F. Kaminsky,59,,,
K. Durant - K. Singler,45,,,
B. Udrih - J. Winslow,32,,,
P. George - S. Hill,44,,,
S. Vujacic - D. Williams,50,,,
C. Johnson - T. Lyles,60,,,
G. Temple - K. Oubre Jr.,47,,,
P. Gasol - A. Brooks,56,,,
G. Harris - J. Sampson,25,,,
J. Green - J. Green,47,,,
T. Daniels - F. Kaminsky,38,,,
R. Anderson - T. Evans,22,,,
T. Parker - K. Anderson,54,,,
J. Sampson - J. Okafor,40,,,
J. Smith - E. Payton,55,,,
L. Thomas - K. O'Quinn,43,,,
R. Sessions - K. Oubre Jr.,57,,,
D. Williams - K. O'Quinn,55,,,
G. Antetokounmpo - T. Ennis,33,,,
A. Nicholson - M. Hezonja,46,,,
B. Jennings - S. Johnson,23,,,
R. Stuckey - C. Budinger,33,,,
T. Jones - C. Capela,42,,,
J. Johnson - J. Richardson,24,,,
C. Paul - J. Green,24,,,
J. Smith - A. Rivers,30,,,
K. Irving - M. Dellavedova,41,,,
M. Dunleavy - J. Butler,17,,,
M. Morris - D. Booker,25,,,
N. Young - L. Nance Jr.,36,,,
D. Harris - C. Parsons,44,,,
D. Jordan - L. Stephenson,37,,,
W. Ellington - T. Robinson,53,,,
B. Lopez - R. Hollis-Jefferson,22,,,
A. Ajinca - T. Douglas,39,,,
S. Vujacic - J. Calderon,31,,,
J. Dudley - K. Oubre Jr.,46,,,
T. Robinson - M. Brown,47,,,
A. Bogut - B. Rush,43,,,
J. Johnson - P. Patterson,49,,,
K. Martin - S. Muhammad,30,,,
D. Williams - K. Porzingis,51,,,
G. Hill - C. Budinger,40,,,
J. Nelson - R. Foye,32,,,
J. Valanciunas - N. Powell,27,,,
T. Chandler - M. Teletovic,47,,,
D. Williams - J. Barea,50,,,
J. Crawford - J. Green,24,,,
J. Lamb - C. Zeller,50,,,
K. Garnett - T. Prince,33,,,
M. Scott - K. Bazemore,64,,,
R. Felton - C. Villanueva,52,,,
B. Griffin - A. Rivers,32,,,
M. Williams - T. Thompson,37,,,
C. Miles - L. Allen,43,,,
G. Hill - S. Hill,42,,,
J. Sampson - N. Jokic,24,,,
K. Humphries - J. Wall,28,,,
R. Stuckey - M. Turner,35,,,
C. Landry - H. Thompson,31,,,
D. Augustin - D. Arthur,24,,,
L. Nance Jr. - M. Huertas,27,,,
C. Johnson - T. Burke,44,,,
M. Ginobili - T. Parker,52,,,
T. Young - R. Hollis-Jefferson,23,,,
A. Ajinca - A. Gee,45,,,
J. Anderson - W. Cauley-Stein,41,,,
O. Asik - T. Evans,25,,,
R. Jefferson - J. Smith,50,,,
D. Carroll - J. Valanciunas,18,,,
L. Mbah a Moute - B. Griffin,28,,,
R. Jefferson - K. Irving,43,,,
R. Stuckey - S. Hill,28,,,
T. Prince - N. Bjelica,47,,,
J. Clarkson - A. Brown,21,,,
R. Foye - K. Durant,24,,,
C. Johnson - R. Gobert,49,,,
G. Hayward - J. Withey,36,,,
J. Valanciunas - T. Ross,48,,,
C. Budinger - L. Allen,43,,,
J. Bayless - M. Carter-Williams,29,,,
A. Bradley - T. Zeller,50,,,
A. Brooks - T. Snell,41,,,
S. Vujacic - L. Galloway,54,,,
T. Evans - A. Gee,24,,,
J. Jerebko - T. Zeller,44,,,
M. Brown - S. Kilpatrick,22,,,
P. Beverley - T. Jones,38,,,
D. Williams - D. Powell,48,,,
J. Nelson - N. Jokic,34,,,
T. Young - M. Brown,42,,,
D. Carroll - B. Biyombo,26,,,
J. Johnson - J. Winslow,23,,,
S. Blake - A. Drummond,55,,,
J. Holiday - D. McDermott,27,,,
J. Terry - T. Jones,37,,,
S. Livingston - F. Ezeli,40,,,
T. Splitter - D. Schroder,36,,,
A. Afflalo - K. O'Quinn,45,,,
C. Miles - M. Turner,41,,,
C. Watson - E. Fournier,28,,,
M. Dunleavy - E. Moore,19,,,
D. Waiters - A. Roberson,54,,,
E. Bledsoe - T. Warren,30,,,
D. Gallinari - J. Lauvergne,28,,,
E. Kanter - A. Roberson,59,,,
G. Monroe - J. O'Bryant III,52,,,
M. Barnes - L. Stephenson,24,,,
M. Plumlee - T. Ennis,35,,,
O. Asik - T. Douglas,31,,,
V. Carter - Z. Randolph,44,,,
D. Rose - B. Portis,42,,,
T. Ennis - J. Parker,34,,,
N. Mirotic - E. Moore,39,,,
V. Carter - L. Stephenson,22,,,
A. Ajinca - J. Holiday,39,,,
C. Landry - I. Smith,30,,,
G. Green - J. Richardson,36,,,
L. Barbosa - B. Rush,51,,,
D. Harris - D. Williams,43,,,
K. Hinrich - J. Butler,30,,,
K. Martin - N. Bjelica,28,,,
P. Gasol - B. Portis,40,,,
I. Smith - A. Davis,21,,,
C. Lee - J. Green,41,,,
A. Burks - R. Hood,30,,,
D. Nowitzki - D. Powell,46,,,
S. Ibaka - K. Singler,52,,,
D. Lee - E. Turner,30,,,
J. Bayless - J. O'Bryant III,32,,,
M. World Peace - J. Clarkson,33,,,
N. Noel - J. Sampson,39,,,
R. Rondo - J. Anderson,35,,,
D. Collison - J. Anderson,36,,,
E. Moore - B. Portis,39,,,
J. Johnson - A. Stoudemire,21,,,
K. Martin - R. Rubio,29,,,
R. Foye - D. Waiters,23,,,
J. Bayless - J. Henson,31,,,
D. Nowitzki - J. Anderson,31,,,
M. Williams - F. Kaminsky,48,,,
R. Gay - S. Curry,29,,,
S. Napier - A. Gordon,38,,,
M. Leonard - M. Plumlee,51,,,
R. Jefferson - M. Williams,37,,,
E. Gordon - N. Cole,25,,,
S. Muhammad - A. Payne,48,,,
D. Russell - M. Huertas,35,,,
M. Williams - T. Mozgov,29,,,
J. Randle - M. Huertas,39,,,
A. Stoudemire - J. Winslow,40,,,
K. Anderson - B. Marjanovic,49,,,
M. Conley - J. Green,43,,,
O. Mayo - J. Henson,26,,,
J. Teague - M. Scott,65,,,
M. Thornton - C. Capela,43,,,
J. Lauvergne - E. Mudiay,45,,,
R. Kelly - M. Huertas,31,,,
D. Dedmon - M. Hezonja,44,,,
J. Calderon - D. Williams,54,,,
J. Hill - S. Hill,36,,,
I. Canaan - R. Holmes,46,,,
K. Seraphin - J. Grant,44,,,
R. Price - B. Knight,36,,,
S. Curry - W. Cauley-Stein,32,,,
C. Watson - M. Hezonja,30,,,
J. Hill - M. Turner,40,,,
J. Withey - R. Hood,40,,,
K. Middleton - R. Vaughn,47,,,
M. Miller - W. Barton,41,,,
C. Johnson - R. Neto,56,,,
D. Sloan - M. Brown,43,,,
N. Collison - A. Morrow,47,,,
S. Larkin - S. Kilpatrick,23,,,
C. Villanueva - J. Barea,44,,,
J. Wall - K. Oubre Jr.,41,,,
N. Stauskas - R. Holmes,41,,,
J. Jack - R. Hollis-Jefferson,18,,,
T. Sefolosha - T. Splitter,30,,,
A. Brown - D. Russell,24,,,
C. Landry - I. Canaan,30,,,
D. Collison - S. Curry,30,,,
D. Dedmon - E. Payton,34,,,
J. Grant - R. Holmes,46,,,
L. Stephenson - A. Rivers,29,,,
J. Lin - P. Hairston,32,,,
M. Williams - J. Smith,27,,,
S. Napier - M. Hezonja,39,,,
K. Porzingis - J. Grant,59,,,
T. Parker - B. Diaw,62,,,
P. Tucker - T. Warren,38,,,
A. Ajinca - R. Anderson,43,,,
D. Cousins - J. Anderson,32,,,
D. Howard - C. Capela,31,,,
E. Bledsoe - M. Teletovic,29,,,
J. Jerebko - J. Crowder,69,,,
J. Randle - A. Brown,26,,,
D. Augustin - G. Harris,28,,,
D. West - J. Simmons,41,,,
J. Green - W. Johnson,24,,,
A. Nicholson - A. Gordon,33,,,
H. Barnes - F. Ezeli,29,,,
L. Deng - T. Johnson,27,,,
G. Green - J. McRoberts,34,,,
G. Neal - O. Porter Jr.,32,,,
K. Humphries - O. Porter Jr.,23,,,
K. Singler - C. Payne,41,,,
R. Gay - J. Anderson,29,,,
R. Price - T. Warren,32,,,
C. Paul - A. Rivers,54,,,
J. Johnson - R. Hollis-Jefferson,18,,,
T. Duncan - P. Mills,50,,,
D. Cunningham - I. Smith,24,,,
L. Scola - N. Powell,25,,,
S. Livingston - A. Bogut,46,,,
A. Tolliver - B. Jennings,23,,,
B. Griffin - L. Stephenson,26,,,
J. Noah - T. Gibson,26,,,
K. Faried - J. Lauvergne,35,,,
K. Koufos - D. Cousins,44,,,
R. Jefferson - J. Jones,41,,,
R. Rubio - N. Bjelica,49,,,
C. Parsons - D. Powell,44,,,
J. Henson - R. Vaughn,41,,,
T. Duncan - M. Ginobili,45,,,
H. Whiteside - T. Johnson,29,,,
J. Redick - J. Green,24,,,
M. Speights - K. Thompson,63,,,
N. Mirotic - J. Holiday,22,,,
O. Mayo - J. Bayless,19,,,
R. Jackson - A. Baynes,67,,,
I. Canaan - J. Sampson,37,,,
J. Smith - J. Harden,23,,,
M. Plumlee - R. Vaughn,45,,,
Z. Pachulia - D. Powell,43,,,
R. Felton - D. Lee,24,,,
T. Booker - J. Withey,37,,,
T. Ennis - R. Vaughn,35,,,
I. Mahinmi - R. Stuckey,51,,,
M. Gortat - G. Neal,33,,,
A. Johnson - K. Olynyk,49,,,
S. Livingston - B. Rush,47,,,
G. Temple - M. Morris,26,,,
S. Mack - T. Lyles,28,,,
D. Lee - W. Matthews,25,,,
K. Perkins - D. Cunningham,33,,,
M. Morris - T. Warren,27,,,
Z. LaVine - T. Jones,33,,,
W. Barton - A. Toupane,21,,,
C. Villanueva - D. Williams,40,,,
J. Bayless - R. Vaughn,35,,,
J. Henson - J. O'Bryant III,36,,,
P. Millsap - M. Muscala,37,,,
B. Rush - H. Barnes,47,,,
D. Cunningham - T. Frazier,16,,,
J. Terry - P. Beverley,49,,,
D. Carroll - C. Joseph,25,,,
J. Smith - S. Napier,35,,,
K. Leonard - K. Anderson,50,,,
M. World Peace - D. Russell,31,,,
H. Thompson - J. Sampson,39,,,
J. Smith - C. Watson,29,,,
S. Larkin - S. Karasev,35,,,
T. Chandler - T. Warren,36,,,
Z. LaVine - A. Payne,43,,,
J. Bayless - G. Vasquez,16,,,
J. Withey - T. Lyles,41,,,
L. Allen - S. Hill,43,,,
L. Deng - B. Udrih,30,,,
K. Seraphin - D. Williams,43,,,
N. Young - M. Huertas,30,,,
R. Anderson - L. Babbitt,28,,,
B. Jennings - V. Oladipo,21,,,
K. Hinrich - D. McDermott,31,,,
P. Millsap - T. Hardaway Jr.,43,,,
R. Felton - J. Anderson,41,,,
S. Vujacic - J. Grant,37,,,
T. Splitter - K. Bazemore,32,,,
G. Harris - J. Nurkic,32,,,
K. Hinrich - T. Gibson,31,,,
L. Williams - A. Brown,19,,,
D. Wade - T. Johnson,30,,,
L. Williams - M. Huertas,24,,,
S. Hill - M. Turner,40,,,
A. Morrow - S. Adams,45,,,
A. Nicholson - E. Fournier,38,,,
C. Andersen - M. Barnes,20,,,
C. Anthony - K. O'Quinn,46,,,
M. Thornton - T. Jones,33,,,
C. Paul - L. Stephenson,34,,,
L. Mbah a Moute - W. Johnson,54,,,
T. Gibson - B. Portis,42,,,
T. Black - M. Huertas,28,,,
A. Morrow - C. Payne,39,,,
R. Hibbert - A. Brown,17,,,
C. Landry - N. Stauskas,28,,,
D. Augustin - A. Toupane,21,,,
J. Hill - G. Robinson III,35,,,
C. Watson - V. Oladipo,23,,,
J. Johnson - B. Biyombo,43,,,
J. Smith - T. Ariza,23,,,
K. Koufos - J. Anderson,35,,,
M. Ginobili - K. Anderson,45,,,
A. Bargnani - W. Ellington,38,,,
L. Babbitt - T. Frazier,15,,,
N. Mirotic - B. Portis,29,,,
C. Frye - M. Dellavedova,25,,,
J. Leuer - A. Goodwin,34,,,
M. Gortat - K. Oubre Jr.,38,,,
D. Schroder - M. Muscala,43,,,
T. Evans - J. Holiday,21,,,
C. Miles - S. Hill,30,,,
C. Villanueva - W. Matthews,49,,,
D. Harris - D. Lee,23,,,
J. Bayless - M. Plumlee,37,,,
K. Humphries - M. Gortat,21,,,
B. Rush - M. Speights,50,,,
T. Black - D. Russell,33,,,
T. Sefolosha - M. Muscala,42,,,
C. Lee - J. Lin,27,,,
C. Watson - A. Gordon,28,,,
C. Bosh - J. McRoberts,23,,,
E. Ilyasova - E. Fournier,19,,,
K. Koufos - S. Curry,28,,,
E. Gordon - A. Ajinca,28,,,
K. Korver - T. Splitter,32,,,
R. Foye - E. Mudiay,28,,,
A. Burks - R. Gobert,16,,,
M. Barnes - R. Hollins,22,,,
M. Morris - A. Goodwin,20,,,
A. Afflalo - K. Seraphin,35,,,
C. Frye - V. Oladipo,33,,,
J. Simmons - B. Marjanovic,40,,,
M. Ellis - C. Budinger,46,,,
M. Speights - I. Clark,46,,,
P. Gasol - K. Hinrich,30,,,
A. Jefferson - C. Lee,27,,,
A. Nicholson - S. Napier,39,,,
R. Covington - R. Holmes,39,,,
A. Nicholson - E. Payton,38,,,
M. World Peace - J. Randle,31,,,
R. Foye - G. Harris,35,,,
E. Ilyasova - M. Hezonja,22,,,
J. Lin - T. Daniels,26,,,
J. Nelson - J. Lauvergne,20,,,
L. Allen - G. Robinson III,35,,,
Nene - G. Neal,25,,,
B. Roberts - F. Kaminsky,27,,,
D. Gallinari - J. Hickson,18,,,
J. Holiday - B. Portis,20,,,
T. Zeller - J. Crowder,45,,,
B. Griffin - W. Johnson,31,,,
E. Moore - T. Snell,39,,,
N. Collison - D. Augustin,28,,,
S. Blake - R. Bullock,26,,,
D. Favors - C. Johnson,42,,,
J. Smith - W. Johnson,27,,,
J. Withey - J. Ingles,45,,,
K. Durant - A. Morrow,54,,,
T. Duncan - K. Anderson,42,,,
T. Hansbrough - F. Kaminsky,37,,,
B. Jennings - A. Baynes,23,,,
C. Joseph - N. Powell,38,,,
G. Neal - B. Beal,24,,,
G. Temple - G. Neal,31,,,
K. Thompson - I. Clark,47,,,
T. Splitter - J. Teague,33,,,
M. Carter-Williams - J. O'Bryant III,35,,,
P. Hairston - F. Kaminsky,39,,,
W. Matthews - S. Mejri,25,,,
B. Rush - I. Clark,49,,,
L. Stephenson - J. Martin,22,,,
N. Bjelica - T. Jones,21,,,
D. Lee - A. Bradley,25,,,
J. Grant - J. Sampson,35,,,
P. Beverley - M. Thornton,33,,,
T. Evans - N. Cole,23,,,
K. Middleton - T. Ennis,29,,,
M. Beasley - J. Harden,19,,,
D. Cousins - S. Curry,27,,,
E. Fournier - S. Napier,34,,,
J. Withey - R. Neto,36,,,
M. Brown - C. McCullough,24,,,
B. Bogdanovic - W. Reed,33,,,
D. Schroder - L. Patterson,27,,,
M. Speights - D. Green,52,,,
P. Pierce - J. Smith,27,,,
V. Carter - J. Green,31,,,
V. Carter - M. Conley,35,,,
A. Burks - J. Ingles,27,,,
G. Monroe - T. Ennis,32,,,
A. Baynes - D. Hilliard,31,,,
J. Holiday - L. Babbitt,26,,,
J. Redick - L. Stephenson,32,,,
K. Durant - C. Payne,35,,,
N. Vucevic - A. Nicholson,33,,,
J. Green - C. Aldrich,24,,,
J. Noah - D. Rose,26,,,
N. Collison - K. Durant,41,,,
A. Morrow - K. Singler,37,,,
D. Lee - K. Olynyk,29,,,
J. Smith - T. Harris,40,,,
M. World Peace - B. Bass,22,,,
R. Sessions - M. Morris,23,,,
Z. Pachulia - C. Villanueva,39,,,
A. Baynes - R. Bullock,29,,,
B. Jennings - E. Fournier,20,,,
C. Frye - T. Thompson,22,,,
C. Miles - C. Budinger,30,,,
J. Crawford - L. Mbah a Moute,49,,,
K. Hinrich - N. Mirotic,25,,,
R. Anderson - O. Asik,36,,,
T. Chandler - J. Leuer,31,,,
A. Gee - I. Smith,22,,,
G. Dieng - T. Jones,32,,,
K. Singler - S. Adams,52,,,
L. Barbosa - F. Ezeli,31,,,
M. Barnes - J. Farmar,12,,,
R. Covington - J. Sampson,31,,,
W. Reed - S. Larkin,34,,,
C. Johnson - R. Hood,46,,,
J. Green - A. Rivers,18,,,
Q. Acy - S. Curry,30,,,
B. Biyombo - N. Powell,37,,,
J. Anderson - S. Curry,28,,,
M. Belinelli - B. McLemore,41,,,
R. Foye - R. Westbrook,22,,,
T. Booker - S. Mack,27,,,
K. Perkins - T. Frazier,16,,,
R. Foye - K. Faried,38,,,
S. Larkin - C. McCullough,24,,,
G. Dieng - A. Payne,34,,,
L. Allen - J. Young,32,,,
R. Felton - J. McGee,30,,,
M. Carter-Williams - R. Vaughn,37,,,
S. Mack - J. Ingles,26,,,
J. Anderson - Q. Acy,36,,,
M. World Peace - M. Huertas,20,,,
S. Blake - T. Harris,27,,,
J. Green - P. Prigioni,21,,,
A. Brooks - J. Holiday,22,,,
C. Lee - F. Kaminsky,27,,,
M. Barnes - P. Hairston,17,,,
M. World Peace - L. Nance Jr.,28,,,
R. Foye - K. Singler,23,,,
A. Gee - L. Babbitt,26,,,
D. Harris - J. Anderson,30,,,
G. Vasquez - G. Antetokounmpo,22,,,
J. Sampson - T. McConnell,40,,,
P. Patterson - N. Powell,39,,,
D. Carroll - P. Patterson,24,,,
J. Sullinger - K. Olynyk,46,,,
O. Casspi - S. Curry,26,,,
O. Mayo - M. Plumlee,18,,,
S. Kilpatrick - C. McCullough,18,,,
T. Harris - M. Hezonja,35,,,
A. Jefferson - P. Hairston,16,,,
D. Lee - I. Thomas,29,,,
J. McRoberts - G. Dragic,33,,,
J. Terry - T. Lawson,30,,,
K. Faried - J. Sampson,17,,,
L. Williams - R. Kelly,19,,,
A. Ajinca - L. Babbitt,26,,,
E. Davis - N. Vonleh,34,,,
J. Jones - T. Thompson,33,,,
J. McRoberts - T. Johnson,16,,,
K. Korver - M. Muscala,37,,,
M. Plumlee - J. O'Bryant III,38,,,
S. Weems - A. Goodwin,27,,,
J. Lauvergne - A. Toupane,20,,,
N. Collison - C. Payne,33,,,
A. Brooks - E. Moore,35,,,
A. Stoudemire - C. Bosh,24,,,
J. Noah - E. Moore,24,,,
S. Hawes - P. Hairston,32,,,
I. Thomas - T. Zeller,49,,,
R. Sacre - J. Randle,18,,,
J. Hamilton - T. Frazier,11,,,
J. Jenkins - M. Teletovic,20,,,
R. Jefferson - C. Frye,20,,,
T. Ennis - J. O'Bryant III,35,,,
R. Felton - S. Mejri,28,,,
D. Sloan - S. Kilpatrick,18,,,
J. Clarkson - T. Black,31,,,
J. Harden - M. Harrell,30,,,
J. Noah - A. Brooks,20,,,
B. Jennings - M. Morris,22,,,
D. Lee - J. Crowder,29,,,
D. McDermott - C. Felicio,28,,,
N. Collison - K. Singler,35,,,
B. Bass - R. Kelly,18,,,
J. Johnson - A. Bargnani,39,,,
R. Butler - K. Anderson,40,,,
A. Stoudemire - G. Green,29,,,
C. Frye - I. Shumpert,20,,,
D. Powell - J. Anderson,39,,,
G. Dragic - T. Johnson,27,,,
G. Vasquez - J. Henson,19,,,
J. Jones - M. Dellavedova,37,,,
N. Collison - R. Westbrook,46,,,
R. Jefferson - J. Cunningham,33,,,
W. Matthews - J. Anderson,25,,,
C. Johnson - J. Withey,40,,,
J. McGee - C. Parsons,28,,,
M. Gasol - J. Green,33,,,
P. Mills - B. Marjanovic,30,,,
S. Vujacic - A. Afflalo,31,,,
A. Iguodala - I. Clark,30,,,
J. Smith - P. Beverley,22,,,
K. Perkins - J. Holiday,23,,,
M. World Peace - L. Williams,24,,,
R. Foye - J. Lauvergne,26,,,
T. Ariza - M. Beasley,19,,,
A. Davis - B. Dejean-Jones,10,,,
B. Udrih - H. Whiteside,22,,,
J. Henson - T. Ennis,25,,,
K. Hinrich - J. Noah,20,,,
K. Seraphin - L. Thomas,29,,,
M. Morris - A. Len,29,,,
P. Pierce - W. Johnson,40,,,
T. Prince - T. Jones,26,,,
W. Barton - K. Papanikolaou,24,,,
J. Terry - M. Beasley,20,,,
R. Jefferson - A. Varejao,31,,,
B. McLemore - S. Curry,27,,,
D. Augustin - A. Morrow,28,,,
E. Ilyasova - V. Oladipo,18,,,
J. Terry - M. Thornton,31,,,
T. Jones - K. Towns,34,,,
B. Bass - A. Brown,23,,,
C. Johnson - J. Ingles,54,,,
C. Villanueva - D. Powell,41,,,
G. Vasquez - K. Middleton,18,,,
T. Duncan - D. West,39,,,
A. Bargnani - B. Lopez,37,,,
C. Frye - K. Irving,22,,,
L. Allen - M. Turner,29,,,
N. Young - R. Hibbert,44,,,
S. Larkin - R. Hollis-Jefferson,28,,,
T. Evans - D. Cunningham,21,,,
T. Harris - A. Nicholson,28,,,
A. Goodwin - T. Warren,24,,,
J. Hickson - E. Mudiay,17,,,
Z. Randolph - C. Andersen,15,,,
D. Green - I. Clark,39,,,
J. McRoberts - J. Richardson,24,,,
J. Nurkic - E. Mudiay,26,,,
K. Perkins - T. Douglas,28,,,
K. Walker - T. Daniels,24,,,
M. Speights - S. Curry,51,,,
N. Stauskas - J. Sampson,31,,,
R. Butler - P. Mills,29,,,
C. Landry - T. McConnell,28,,,
R. Stuckey - T. Lawson,13,,,
S. Livingston - I. Clark,34,,,
T. Douglas - T. Frazier,15,,,
T. Robinson - S. Kilpatrick,17,,,
J. Green - J. Martin,24,,,
J. Noah - N. Mirotic,25,,,
O. Casspi - Q. Acy,33,,,
V. Carter - M. Gasol,30,,,
S. Weems - A. Len,26,,,
T. Zeller - K. Olynyk,30,,,
A. Miller - S. Muhammad,24,,,
B. Diaw - B. Marjanovic,25,,,
L. Aldridge - J. Simmons,41,,,
S. Johnson - D. Hilliard,27,,,
D. Nowitzki - J. McGee,25,,,
J. Barea - J. McGee,24,,,
M. Conley - M. Chalmers,37,,,
S. Hill - J. Young,35,,,
A. Iguodala - B. Rush,38,,,
A. Payne - A. Wiggins,38,,,
B. Bogdanovic - S. Karasev,28,,,
C. Villanueva - J. Anderson,34,,,
D. Lee - J. Barea,23,,,
S. Muhammad - D. Rudez,30,,,
A. Ajinca - N. Cole,30,,,
J. Hill - J. Young,21,,,
K. Humphries - B. Beal,15,,,
J. Jerebko - J. Sullinger,51,,,
S. Vujacic - K. O'Quinn,38,,,
H. Barnes - I. Clark,39,,,
J. Barea - S. Mejri,29,,,
R. Sacre - D. Russell,18,,,
V. Oladipo - S. Napier,30,,,
C. Miles - G. Robinson III,28,,,
K. Humphries - R. Sessions,22,,,
K. Marshall - H. Thompson,25,,,
R. Butler - J. Simmons,32,,,
I. Mahinmi - S. Hill,30,,,
K. Humphries - P. Millsap,21,,,
M. World Peace - R. Hibbert,31,,,
D. Howard - J. Smith,19,,,
J. Teague - M. Muscala,37,,,
Z. Randolph - L. Stephenson,18,,,
D. Harris - C. Villanueva,38,,,
M. Miller - R. Foye,28,,,
T. Hansbrough - T. Daniels,34,,,
D. Augustin - J. Nurkic,13,,,
D. Nowitzki - S. Mejri,20,,,
J. Hickson - K. Faried,11,,,
T. Harris - A. Baynes,25,,,
W. Ellington - W. Reed,31,,,
A. Miller - G. Dieng,24,,,
C. Budinger - M. Turner,24,,,
D. Gooden - R. Sessions,29,,,
J. Clarkson - M. Huertas,23,,,
J. Johnson - M. Brown,26,,,
M. Ginobili - D. Green,40,,,
C. Brewer - M. Harrell,30,,,
E. Turner - R. Hunter,22,,,
T. Harris - S. Napier,31,,,
C. Miles - J. Young,23,,,
L. Babbitt - A. Davis,18,,,
A. Ajinca - A. Davis,24,,,
J. Anderson - B. McLemore,30,,,
J. Smith - B. Jennings,22,,,
K. Bazemore - M. Muscala,33,,,
Z. Randolph - J. Farmar,10,,,
J. Ennis III - T. Frazier,9,,,
K. Perkins - L. Babbitt,20,,,
K. Humphries - T. Sefolosha,20,,,
K. Marshall - R. Covington,22,,,
K. Perkins - A. Gee,25,,,
N. Cole - B. Dejean-Jones,13,,,
S. Weems - M. Teletovic,26,,,
U. Haslem - J. Winslow,31,,,
E. Ilyasova - E. Payton,16,,,
L. Williams - T. Black,20,,,
R. Butler - B. Diaw,25,,,
S. Vujacic - L. Thomas,30,,,
L. Stephenson - P. Prigioni,23,,,
S. Ibaka - C. Payne,31,,,
A. Payne - T. Jones,27,,,
D. Nowitzki - D. Lee,24,,,
Nene - M. Morris,24,,,
O. Mayo - R. Vaughn,23,,,
P. Pierce - B. Griffin,21,,,
R. Foye - K. Papanikolaou,18,,,
R. Hollins - J. Green,24,,,
A. Horford - L. Patterson,28,,,
C. Budinger - P. George,37,,,
M. Belinelli - Q. Acy,29,,,
S. Blake - D. Hilliard,24,,,
Z. Randolph - P. Hairston,12,,,
A. Tolliver - D. Hilliard,24,,,
R. Kelly - D. Russell,24,,,
T. Booker - T. Lyles,40,,,
B. Jennings - A. Gordon,20,,,
J. Green - P. Hairston,17,,,
J. Green - X. Munford,13,,,
D. Wade - B. Udrih,23,,,
E. Ilyasova - C. Watson,18,,,
M. Leonard - T. Frazier,21,,,
R. Hollins - M. Chalmers,19,,,
T. Thompson - J. Cunningham,28,,,
Z. LaVine - D. Rudez,27,,,
E. Ilyasova - J. Smith,19,,,
J. Redick - A. Rivers,50,,,
J. Teague - T. Hardaway Jr.,42,,,
T. Black - L. Nance Jr.,18,,,
Z. Pachulia - J. Anderson,23,,,
C. Landry - J. Grant,25,,,
G. Robinson III - J. Young,29,,,
J. Jerebko - R. Hunter,29,,,
J. Lauvergne - J. Nurkic,15,,,
N. Young - T. Black,19,,,
M. Belinelli - S. Curry,21,,,
C. Landry - R. Covington,23,,,
J. McRoberts - H. Whiteside,24,,,
L. Barbosa - I. Clark,37,,,
M. Williams - M. Dellavedova,22,,,
D. Arthur - J. Sampson,18,,,
D. Cunningham - J. Ennis III,9,,,
