LINEUPS,NETRTG,,,
A. Simons - D. Eubanks,-4.7,,,
G. Harris - F. Wagner,1.4,,,
M. Smart - G. Williams,3.7,,,
T. Jones - S. Aldama,2.9,,,
M. Plumlee - K. Oubre Jr.,-10.5,,,
D. Eubanks - S. Sharpe,-4.3,,,
K. Olynyk - W. Kessler,1.4,,,
M. Morris Sr. - R. Jackson,-1.1,,,
M. Plumlee - J. McDaniels,-4.6,,,
D. Smith Jr. - P. Washington,-4.8,,,
N. Batum - T. Mann,6.7,,,
J. Valanciunas - B. Ingram,-0.8,,,
B. Hield - J. Smith,-5,,,
J. Clarkson - M. Beasley,-2.8,,,
L. James - A. Reaves,8.1,,,
C. McCollum - L. Nance Jr.,10.2,,,
S. Curry - R. O'Neale,0.4,,,
J. Poole - A. Lamb,0.3,,,
M. Beasley - L. Markkanen,1.1,,,
K. Anderson - D. Russell,3.5,,,
C. Boucher - S. Barnes,-2.5,,,
K. Huerter - D. Mitchell,5.7,,,
M. Brogdon - D. White,7.7,,,
D. DiVincenzo - J. Kuminga,2.3,,,
F. Wagner - J. Suggs,1,,,
L. Markkanen - C. Sexton,3.5,,,
C. Boucher - G. Trent Jr.,-3.7,,,
D. Mitchell - K. Murray,3.6,,,
S. Gilgeous-Alexander - I. Joe,6.8,,,
J. Poeltl - J. Sochan,-7.2,,,
T. Hardaway Jr. - J. Green,5.2,,,
M. Wagner - F. Wagner,4.6,,,
K. Towns - A. Edwards,0.1,,,
B. Bogdanovic - T. Young,-0.7,,,
S. Dinwiddie - M. Bridges,3.5,,,
T. Horton-Tucker - W. Kessler,5.9,,,
J. Morant - J. Konchar,12.3,,,
S. Dinwiddie - D. Powell,5.7,,,
R. Bullock - D. Finney-Smith,0.8,,,
K. Thompson - A. Wiggins,8.9,,,
P. Connaughton - G. Allen,2.2,,,
T. Brown Jr. - A. Reaves,1.9,,,
T. Jones - B. Clarke,-3.5,,,
Z. Collins - M. Branham,-5.3,,,
D. Murray - A. Griffin,-0.3,,,
J. Green - B. Brown,-9,,,
L. James - R. Westbrook,6,,,
N. Batum - K. Leonard,9,,,
L. Doncic - J. Green,6.5,,,
T. Watford - S. Sharpe,-9.9,,,
I. Hartenstein - J. Brunson,3.7,,,
N. Powell - I. Zubac,-7.9,,,
I. Joe - J. Williams,2.3,,,
C. Anthony - P. Banchero,-8,,,
L. James - T. Brown Jr.,4.3,,,
D. Vassell - T. Jones,-9.9,,,
L. Nance Jr. - T. Murphy III,2.2,,,
M. Monk - D. Mitchell,1.3,,,
G. Trent Jr. - P. Achiuwa,-0.3,,,
M. Morris Sr. - T. Mann,-0.4,,,
K. Hayes - I. Livers,-10.3,,,
B. Bol - P. Banchero,-8,,,
K. Johnson - M. Branham,-11.9,,,
O. Brissett - B. Mathurin,0.2,,,
E. Gordon - K. Porter Jr.,-8.6,,,
K. Irving - B. Simmons,4.6,,,
U. Garuba - T. Eason,-10.6,,,
C. Paul - J. Okogie,4.4,,,
Z. Collins - K. Johnson,-11.2,,,
M. Beasley - W. Kessler,2.1,,,
M. Plumlee - L. Ball,-7.6,,,
C. Osman - D. Garland,10.7,,,
D. Garland - L. Stevens,9.4,,,
L. Stevens - E. Mobley,3.5,,,
B. Brown - C. Braun,-6.6,,,
P. Achiuwa - S. Barnes,2.2,,,
P. Siakam - C. Boucher,0.2,,,
B. Portis - G. Allen,-0.5,,,
A. Horford - G. Williams,8.6,,,
G. Williams - S. Hauser,4.1,,,
K. Leonard - T. Mann,6.2,,,
M. Conley - J. Vanderbilt,-3.3,,,
C. LeVert - I. Okoro,2.1,,,
A. Davis - L. Walker IV,-0.5,,,
B. Brown - M. Porter Jr.,8.5,,,
T. Jones - D. Roddy,-0.6,,,
D. Schroder - A. Reaves,9.6,,,
D. Bane - S. Aldama,10.3,,,
K. Olynyk - J. Vanderbilt,-3.2,,,
R. Westbrook - A. Reaves,1.8,,,
D. Lee - M. Bridges,6.8,,,
J. Giddey - J. Williams,-10.3,,,
L. Dort - I. Joe,-2.1,,,
N. Powell - T. Mann,-0.6,,,
S. Bey - I. Stewart,-8.1,,,
T. McConnell - B. Hield,-0.7,,,
I. Jackson - B. Mathurin,-6.4,,,
L. Nance Jr. - N. Marshall,4.3,,,
D. Wright - D. Avdija,2.7,,,
S. Curry - D. DiVincenzo,8.5,,,
P. Siakam - P. Achiuwa,0.6,,,
